27/06/2022 13:23:08.70 [Information] -------------------------------
27/06/2022 13:23:14.43 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\connectionchain.xml'
27/06/2022 13:23:14.43 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\CritParams.xml'
27/06/2022 13:23:14.43 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\FpExceptions.xml'
27/06/2022 13:23:14.43 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\HNFINFO.SAF'
27/06/2022 13:23:14.43 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\KLIConfig.xml'
27/06/2022 13:23:14.43 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\KNet.xml'
27/06/2022 13:23:14.43 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\KONIConfig.xml'
27/06/2022 13:23:14.43 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\KrcConfig.xml'
27/06/2022 13:23:14.43 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\KrcDryRun.xml'
27/06/2022 13:23:14.43 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\KrcExtConfMsg.xml'
27/06/2022 13:23:14.43 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Logging_BrakeTest.xml'
27/06/2022 13:23:14.43 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Logging_PowerManagement.xml'
27/06/2022 13:23:14.44 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Logging_RoboTeam.xml'
27/06/2022 13:23:14.44 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Logging_SpotControl.xml'
27/06/2022 13:23:14.44 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Logging_System.xml'
27/06/2022 13:23:14.44 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Logging_VwAscii.xml'
27/06/2022 13:23:14.44 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Modules_TimeSync.xml'
27/06/2022 13:23:14.44 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Modules_VRC.xml'
27/06/2022 13:23:14.44 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\PowerManagementConfig.xml'
27/06/2022 13:23:14.44 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\TimeSync.xml'
27/06/2022 13:23:14.44 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\TimeSyncBase.xml'
27/06/2022 13:23:14.44 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Mada\NGAxis\Sensor1.xml'
27/06/2022 13:23:14.44 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Motor\M_TA-M0016-KM040-W1_KSP300-5_230V_V1.xml'
27/06/2022 13:23:14.44 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Motor\M_TA-M0064-KM060-W1_KSP300-12_230V_V1.xml'
27/06/2022 13:23:14.44 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Motor\M_TA-M0127-KM060-W1_KSP300-12_230V_V1.xml'
27/06/2022 13:23:14.44 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\ServoFile\S_KSP300_230V_06.xml'
27/06/2022 13:23:14.44 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\ServoFile\S_TA-M0016-KM040-W1_KSP300-5_230V_V1.xml'
27/06/2022 13:23:14.44 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\ServoFile\S_TA-M0064-KM060-W1_KSP300-12_230V_V1.xml'
27/06/2022 13:23:14.44 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\ServoFile\S_TA-M0127-KM060-W1_KSP300-12_230V_V1.xml'
27/06/2022 13:23:14.44 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Supply\KSP300_230V_06.xml'
27/06/2022 13:23:14.44 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\PersistPC\EncoderMastering.xml'
27/06/2022 13:23:14.44 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\PersistPC\SimuMastering.xml'
27/06/2022 13:23:14.44 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\MotionDrivers\loadDataDevice.ini'
27/06/2022 13:23:14.44 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\MotionDrivers\mdrCncAdapter.ini'
27/06/2022 13:23:14.44 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\MotionDrivers\mdrEmily.ini'
27/06/2022 13:23:14.44 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\MotionDrivers\mdrJointOffset.ini'
27/06/2022 13:23:14.44 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\MotionDrivers\mdrSignalMonitor.ini'
27/06/2022 13:23:14.44 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\MotionDrivers\mdrStandStill.ini'
27/06/2022 13:23:14.44 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\MotionDrivers\mdrVwAscii.ini'
27/06/2022 13:23:14.44 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\MotionDrivers\motiondrv.ini'
