27/06/2022 13:24:51.83 [Information] -------------------------------
27/06/2022 13:24:53.32 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Mada\MotionDrivers\MdlCtlDataDrv.ini'
27/06/2022 13:24:53.32 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Mada\MotionDrivers\motiondrv.ini'
27/06/2022 13:24:53.32 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Mada\CtrlGainTab.bin'
27/06/2022 13:24:53.32 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\PersistPC\NGDecouple.xml'
27/06/2022 13:24:53.32 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\USERPDI.SAF'
27/06/2022 13:24:53.32 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\SAFEDEV.SAF'
27/06/2022 13:24:53.32 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\SCTLPARA.SAF'
27/06/2022 13:24:53.32 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\SCTLINFO.SAF'
27/06/2022 13:24:53.32 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\SCTLCRC.IMG'
27/06/2022 13:24:53.32 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\SCTLCRC.XML'
27/06/2022 13:24:53.32 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\cell.src'
27/06/2022 13:24:53.32 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\Program\CollDetect_UserAction.dat'
27/06/2022 13:24:53.32 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\Program\CollDetect_UserAction.src'
27/06/2022 13:24:53.32 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\Program\masref_user.dat'
27/06/2022 13:24:53.32 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\Program\masref_user.src'
27/06/2022 13:24:53.32 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\System\$config.dat'
27/06/2022 13:24:53.32 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\System\bas.src'
27/06/2022 13:24:53.33 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\System\collmonlib.dat'
27/06/2022 13:24:53.33 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\System\collmonlib.src'
27/06/2022 13:24:53.33 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\System\Global_Points.dat'
27/06/2022 13:24:53.33 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\System\ir_stopm.src'
27/06/2022 13:24:53.35 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\System\masref_main.dat'
27/06/2022 13:24:53.35 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\System\masref_main.src'
27/06/2022 13:24:53.35 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\System\MsgLib.dat'
27/06/2022 13:24:53.35 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\System\MsgLib.src'
27/06/2022 13:24:53.36 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\System\sps.sub'
27/06/2022 13:24:53.36 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\TP\p00.dat'
27/06/2022 13:24:53.36 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\TP\p00.src'
27/06/2022 13:24:53.36 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\TP\BrakeTest\BrakeTestAxes.dat'
27/06/2022 13:24:53.36 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\TP\BrakeTest\BrakeTestAxes.src'
27/06/2022 13:24:53.36 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\TP\BrakeTest\BrakeTestBack.dat'
27/06/2022 13:24:53.36 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\TP\BrakeTest\BrakeTestBack.src'
27/06/2022 13:24:53.36 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\TP\BrakeTest\BrakeTestPark.dat'
27/06/2022 13:24:53.36 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\TP\BrakeTest\BrakeTestPark.src'
27/06/2022 13:24:53.36 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\TP\BrakeTest\BrakeTestReq.dat'
27/06/2022 13:24:53.36 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\TP\BrakeTest\BrakeTestReq.src'
27/06/2022 13:24:53.36 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\TP\BrakeTest\BrakeTestStart.dat'
27/06/2022 13:24:53.36 [Information] [GripperSpotTech]	Extracting external file 'KRC:\R1\TP\BrakeTest\BrakeTestStart.src'
27/06/2022 13:24:53.36 [Information] [GripperSpotTech]	Extracting external file 'KRC:\STEU\$config.dat'
27/06/2022 13:24:53.36 [Information] [GripperSpotTech]	Extracting external file 'KRC:\STEU\Mada\$machine.dat'
27/06/2022 13:24:53.36 [Information] [GripperSpotTech]	Extracting external file 'KRC:\STEU\Mada\$option.dat'
27/06/2022 13:24:53.36 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\AsyncDataToKrl.xml'
27/06/2022 13:24:53.36 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\connectionchain.xml'
27/06/2022 13:24:53.36 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\CritParams.xml'
27/06/2022 13:24:53.36 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\FpExceptions.xml'
27/06/2022 13:24:53.36 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\HNFINFO.SAF'
27/06/2022 13:24:53.36 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\KLIConfig.xml'
27/06/2022 13:24:53.36 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\KNet.xml'
27/06/2022 13:24:53.36 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\KONIConfig.xml'
27/06/2022 13:24:53.36 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\KrcConfig.xml'
27/06/2022 13:24:53.36 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\KrcDryRun.xml'
27/06/2022 13:24:53.36 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\KrcExtConfMsg.xml'
27/06/2022 13:24:53.36 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Logging_BrakeTest.xml'
27/06/2022 13:24:53.36 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Logging_PowerManagement.xml'
27/06/2022 13:24:53.36 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Logging_RoboTeam.xml'
27/06/2022 13:24:53.36 [Information] [GripperSpotTech]	Extracting external file 'Config:\User\Common\Logging_SpotControl.xml'
